Date,Title,Outlet,Content
2024,DIDACTIC GAME ABOUT RENEWABLE AND SUSTAINABLE ENERGIES,"Proceedings of the International Conferences on Digital Transformation and Innovation Management 2024, DTIM 2024; and ICT, Society and Human Beings 2024, ICT 2024","Renewable sources play a crucial role in addressing global energy challenges and mitigating environmental impacts associated with conventional energy sources. In response to the growing need for effective educational tools in this field, Sustainable Energy Centers of Vocational Excellence (SECOVE) issued a challenge to create a game that would teach the players about sustainable energies while capturing their attention. This project aims to provide an enhanced way for the subject to be taught to students in a class environment while also being prepared to teach people outside of that environment about the subject. To achieve this goal, a multi-phase approach was developed, integrating research, design, and deployment. Games with similar themes, such as “Power Up” and “Siemens Energy Island”, were studied, along with techniques identified to enhance game development. The resulting game was designed to engage players while providing relevant information about renewable energies, their advantages, and their importance. While it was reported to have a strong teaching component and engaging gameplay experience, feedback on the player actions fell short of expectations. Nonetheless, the game holds potential for further development to incorporate reported feedback and expand on existing teaching content. In summary, this research aims to introduce a novel approach to teaching about renewable energies, leveraging familiar technology (games) to captivate a younger audience. © 2024 Digital Transformation and Innovation Management. All Rights Reserved."
2024,Evaluating the offshore wind business case and green hydrogen production: A case study of a future North Sea Offshore Grid,Electric Power Systems Research,"The European Union aims to increase its climate ambition and achieve climate neutrality by 2050. This necessitates expanding offshore wind energy and green hydrogen production, especially for hard-to-abate industrial sectors. A study examines the impact of green hydrogen on offshore wind projects, specifically focusing on a potential future North Sea offshore grid. The study utilizes data from the TYNDP 2020 Global Ambition scenario 2040, considering several European countries. It aims to assess new transmission and generation capacity utilization and understand the influencing factors. The findings show that incorporating green hydrogen production increases offshore wind utilization and capture prices. The study estimates that by 2040, the levelized cost of hydrogen could potentially decrease to €1.2-1.6/kg H2, assuming low-cost electricity supply and declining capital costs of electrolysers. These results demonstrate the potential benefits and cost reductions of integrating green hydrogen production into North Sea offshore wind projects. © 2024 The Author(s)"
2023,Harmonic suppression and fault ride-through method of diode-rectifier-based hybrid high-voltage direct current system for offshore wind farms integration,"IET Generation, Transmission and Distribution","The diode-rectifier (DR)-based high-voltage direct current (HVDC) transmission is regarded as a low-cost alternative to the HVDC transmission for offshore wind farms (OWFs) integration. However, the DR would generate harmonic voltages in the offshore grid, which greatly affects the power quality. To solve this problem, this paper utilizes a parallel-connected small-capacity auxiliary converter to suppress the harmonic voltages and provide black-start energy for the OWFs. In addition, the submodule branches (SMBs) of the auxiliary converter can be used as part of the HVDC chopper. On this basis, a coordinated grid fault ride-through (FRT) strategy is proposed in this paper. After a grid fault occurs, the HVDC chopper constructed by the auxiliary converter is able to constrain the DC-link voltage. At the same time, the OWFs are controlled to reduce the output active power. As a result, the cost of the FRT can be significantly reduced. The proposed harmonic voltage suppression and the FRT method are verified through the simulation model in Simulink. © 2023 The Authors. IET Generation, Transmission & Distribution published by John Wiley & Sons Ltd on behalf of The Institution of Engineering and Technology."
2023,Diode rectifier-based hybrid high-voltage direct current converter for offshore wind farms,IET Renewable Power Generation,"This paper presents a diode rectifier (DR)-based hybrid converter topology for high-voltage direct current (HVDC) transmission system with offshore wind farms (OWFs). The hybrid converter consists of a DR and an auxiliary converter. A high conversion ratio ac/dc converter is designed as the auxiliary converter, which can form the offshore grid voltage for OWFs to achieve black-start. Under steady state, all the active power output from OWFs is delivered through the DR. Meanwhile, the auxiliary converter is able to compensate the reactive power and harmonic currents of the system. Comparing with the conventional modular multilevel converter (MMC), the number of submodules (SM) of the proposed hybrid converter is significantly reduced, which decreases the construction cost and size of the system. The topology and operation principle of the hybrid HVDC converter are introduced. Then the corresponding control strategy is designed to achieve energy balance and power transmission. Based on the mathematic model, a design method for the parameters of the auxiliary converter is proposed. Finally, the feasibility of the proposed hybrid HVDC converter is verified by both the simulation and hardware-in-the-loop experiment results. © 2022 The Authors. IET Renewable Power Generation published by John Wiley & Sons Ltd on behalf of The Institution of Engineering and Technology."
2023,Model predictive control and protection of MMC-based MTDC power systems,International Journal of Electrical Power and Energy Systems,"Meshed offshore grids (MOGs) present a viable option for a reliable bulk power transmission topology. The station-level control of MOGs requires faster dynamics along with multiple objective functions, which is realized by the model predictive control (MPC). This paper provides control, and protection design for the Modular Multilevel Converter (MMC) based multi-terminal DC (MTDC) power system using MPC. MPC is defined using a quadratic cost function, and a dqz rotating frame voltage inputs are represented using Laguerre orthonormal functions. MPC has been applied for the control of both grid forming and grid following converters in a four-terminal MTDC setup, implemented for real-time Electromagnetic Transient (EMT) simulation. By applying numerous time-domain simulations, the advantages of the MPC when dealing with AC and DC side disturbances are investigated. The investigation highlights the MPC's inherent feature of fast response and high damping during- and post-disturbance, which is compared to the traditional PI controller performance. The analysis provides a comprehensive insight into the transient behavior of the MTDC during disturbances. © 2022 The Author(s)"
2024,Techno-economic assessment of upgraded pyrolysis bio-oils for future marine fuels,Energy Conversion and Management,"Power-to-X plants can generate renewable power and convert it into hydrogen or more advanced fuels for hard-to-abate sectors like the maritime industry. Using the Bornholm Energy Island in Denmark as a study case, this study investigates the off-grid production e-bio-fuel as marine fuels. It proposes a production pathway and an analysis method of the oil with a comparison with e-methanol. Production costs, optimal operations and system sizing are derived using an open-source techno-economic linear programming model. The renewable power source considered is a combination of solar photovoltaic and off-shore wind power. Both AEC and SOEC electrolyzer technologies are assessed for hydrogen production. The bio-fuel is produced by slow pyrolysis of straw pellet followed by an upgrading process: hydrodeoxygenation combined with decarboxylation. Due to its novelty, the techno-economic parameters of the upgraded pyrolyzed oil are derived experimentally. Experimental results highlight that the upgrading reaction conditions of 350 °C for 2h with one step of 1h at 150 °C, under 200 bars could effectively provide a fuel with a sufficient quality to meet maritime fuel specifications. It requires a supply of 0.014 kg H2/ kgbiomass. Modeling results shows that a small scale plant constrained by the local availability of CO2 and biomass producing 71.5 GWh of fuel per year (13.3 kton of methanol or 7.9 kton of bio-fuel), reaches production costs of 54.2 €2019/GJmethanol and 19.3 €2019/GJbio−fuel. In a large scale facility, ten times larger, the production costs are reduced to 44.7 €2019/GJmethanol and 18.9 €2019/GJbio−fuel (scaling effects for the methanol pathway). Results show that, when sustainable biomass is available in sufficient quantities, upgraded pyrolysis oil is the cheapest option and the less carbon intensive (especially thanks to the biochar co-product). The pyrolysis unit represents the main costs but co-products revenues such as district heat sale and biochar as a CO2 credit could decrease the costs by a factor three. © 2024 The Author(s)"
2023,Small Signal Stability Analysis of MMC-HVDC Grid-connected System and Optimization Control of Zero-sequence Circulating Current Controller,"2023 IEEE International Conference on Power Science and Technology, ICPST 2023","The high voltage direct current (HVDC) transmission technology based on modular multilevel converter (MMC) is widely used in the offshore grid-connected wind power generation projects, and the small signal stability problems of the grid-connected system have been attracted great attention. This paper focused on the influence of the zero-sequence circulating current (ZSCC) controller on the stability of the offshore wind power generation MMC-HVDC grid-connected system. The closed-loop frequency domain model was derived by means of complex vectors and harmonic state space firstly. Then the paper developed the single-input-single-output (SISO) impedance model of MMC which considering the ZSCC controller. In addition, the impedance model of the offshore wind farm and the distribution network were established. Based on the impedance model, the influence law and mechanism of the ZSCC controller on the stability of the offshore wind power generation MMC-HVDC grid-connected system were explored. The analysis results show that when the output power of wind is too large, the system is prone to oscillation. The application of the ZSCC controller equivalently increases the bridge arm resistance and enhancing the system damping, which effectively suppressing the resonant peaks of MMC impedance in island control mode. Finally, from the point of view of enhancing the damping of the system, the parameter optimization scheme for ZSCC controller was designed, and the correctness of the theory and the feasibility of the scheme were verified by simulations.  © 2023 IEEE."
2024,"A framework to identify offshore spatial trade-offs in different space allocation options for Offshore Wind Farms, as part of the North Sea Offshore Grid",Energy Reports,"An efficient, well-balanced North Sea Offshore Grid (NSOG) requires an area-based approach for large-scale OWF deployment. However, the essential coordination of environmental, spatial and energy planning at a basin scale is lacking. This study offers a systematic approach for unidirectional coupling of spatially explicit offshore development scenarios potentials(km2), with an integrated energy system model, IESA-NS. Under the NSOG concept, we calculate spatial potentials for 8 predefined energy hubs(clusters). By combining the potential spatial availability, deployment and energy system costs(IESA-NS) and the risk management options (OWFs/fisheries/marine protected areas-MPA), we unfold trade-offs emerging in the planning of the future NSOG. Hence, a lower-cost NSOG, in reaching the North Sea 2050 energy targets, depends on integrated, collaborative space management, fast deployment of fixed-bottom OWFs by 2030(3.5 times the current capacity) and multi-use with static gear fisheries (Cluster 3) and MPAs (Cluster 7). Alternatively, a higher-cost NSOG with lower impacts on the MPAs and fisheries, is highly dependent on floating OWFs (32.6GWs by 2030), from 2 British NSOG clusters. In both cases, floating OWFs are essential, the effective use of cluster space requires basin-scale collaboration (Cluster 7-Dogger Bank), and the untapped potential of Cluster 8(floating OWFs) can lower the pressure on other NSOG clusters. © 2024 The Authors"
2023,"ENERGY TRANSITION IN SHETLAND ISLANDS TOWARDS NET ZERO: DEVELOPMENT, CHALLENGES AND OPPORTUNITIES",IET Conference Proceedings,"The radical changes are expected in energy systems globally. Shetland Island is a special area in UK in terms of energy system circumstances. Currently, Shetland power system is primarily characterised by its isolation from the GB power system and the reliance on fossil fuel, which introduces challenges related to power system management and emission stresses within the islands. To utilise the rich wind resources in Shetland region, large-scale wind farms will be developed, and a high voltage direct current (HVDC) system and an onshore transmission network will be installed; whereas massive local baseloads (mainly including oil and gas asset electrification and massive hydrogen production) are expected to be deployed on Shetland. This paper reviews the current system structure and circumstances of the Shetland power system, and presents the vision and expectation of the future integrated energy system, with key technical barriers and enablers identified with regard to the system development and operation. Besides, major challenges and opportunities of different system parties are outlined, as essential considerations for system developers and/or operators. © 2023 IET Conference Proceedings. All rights reserved."
2023,Virtual Inertial Control Strategy of Islanding DC Microgrid Storage Converter Based on Rate of Change of Voltage,"2023 IEEE PELS Students and Young Professionals Symposium, SYPS 2023","The new energy islanding DC microgrid system has the characteristics of high power electronization, low inertia and weak damping. The bus voltage is susceptible to power fluctuation. The virtual DC motor (VDCM) method can effectively improve the system inertia and ensure the stability of the bus voltage. Aiming at the problem of long voltage regulation time of VDCM, a virtual inertia control strategy (VI-ROCOV) based on rate of change of voltage (ROCOV) is proposed, which reduces the adjustment time of DC bus voltage and optimizes its transient characteristics while providing inertial support within the stability margin. The virtual inertia control method proposed in this paper realizes the virtual inertia control of the system by improving the voltage feedback loop, which has a wide application prospect for voltage-controlled converters with different topologies.  © 2023 IEEE."
2023,Well-to-Wheels for Light-Duty Vehicle Powertrains by Segments in Isolated Systems †,Energies,"The transportation sector has the highest energy demand worldwide and bears the primary responsibility for CO2 emissions. Electromobility has emerged as the most feasible way to alleviate this problem. However, its potential depends heavily on the development of renewable energies. Island regions raise additional barriers to electromobility due to their heavy dependence on fossil fuels. This article addresses this challenge by presenting a comprehensive well-to-wheel framework to assess the levels of efficiency and CO2 emissions of electromobility options such as battery and plug-in electric vehicles (BEVs and PHEVs). The results were compared with those for internal combustion engine vehicles (ICEVs). The framework proposed takes account of various factors including the extraction, refining, and transport of oil, different segments of land vehicles, and electricity system operations. The framework is demonstrated with a case study of the Spanish Canary archipelago. The results show that BEVs improve efficiency and CO2 emissions by around 30% compared to ICEVs on islands where the share of renewable energies is higher than 21%. In contrast, limited renewable generation may lead to BEVs polluting up to 15% more than ICEVs. PHEVs should be considered as a suitable alternative if the share of renewable generation is higher than 35%. © 2023 by the authors."
2024,RESEARCH ON STRATEGIC AND TECHNICAL OF HYDROGEN PRODUCTION BY DEEP OFFSHORE IN SITU ELECTROLYSIS OF SEAWATER; [深远海原位电解海水制氢的战略及技术研究],Taiyangneng Xuebao/Acta Energiae Solaris Sinica,"In the context of achieving the ""dual-carbon"" strategy in China，hydrogen energy will play a bridging and supporting role in the future energy transition. As a promising green energy technology，renewable energy electrolysis of water to produce hydrogen has attracted widespread attention. China has abundant offshore wind energy resources；however，there are currently challenges in grid connection，transmission，and high costs. Considering the high investment and production costs of seawater desalination and purification，as well as the complex treatment processes involved，the direct electrolysis of seawater for hydrogen production offers the potential to overcome the limitations of large-scale hydrogen production water sources. It can also address the challenges of transmitting renewable energy from deep-sea locations and the high on-site hydrogen production costs，resulting in significant economic and social benefits. This article reviews the development of seawater electrolysis technology，compares several existing electrolysis methods for hydrogen production，discusses the current challenges and opportunities，and provides an outlook on the future of the seawater electrolysis hydrogen production industry. Taking an offshore oil and gas company as an example，it explores the possibilities for energy enterprises to promote the integration of offshore wind power and seawater electrolysis technology on an industrial scale. It also suggests measures to reduce costs，avoid homogenous competition，and develop distinctive technologies，including improving the layout of offshore wind power facilities，developing seawater electrolysis technology，enhancing hydrogen transportation and storage capabilities，and achieving coordinated development of offshore green energy islands. © 2024 Science Press. All rights reserved."
2023,User Evaluation of Innovative Megaprojects Induced by Environmental Change Using Primary Data,"Eurasia Proceedings of Science, Technology, Engineering and Mathematics","The modern age and the associated rise in living standards have been achieved at the cost of enormous environmental damage. The environmental degradation of today, the environmental devastation of previous years, and global warming have presented the world with new and novel challenges that were not experienced in previous decades. Rising sea levels, increasing energy demand and the explosion in energy prices have created new focal points in the thinking of all spheres of economic life. All these environmental factors require a new and fresh approach to future sustainability. New solutions to energy supply are needed and solutions to sea-level rise must be sought. In this article, we undertake to examine in detail the Maldives floating city and the European energy island project from a user's perspective, specifically in terms of its progress and exemplary value. In this paper, we will examine the two flagship projects through the results of a primary research conducted in 2022 and 2023, formulating the main messages for the design of future projects. © 2023 Published by ISRES Publishing: www.isres.org."
2023,Research on indoor dynamic temperature based on circulating water heating,Energy Reports,"During the heating season, cities in northeast China primarily emphasize the implementation of large-scale CHP central heating systems. However, the heat-electricity constraints associated with these heating units hinder the integration of clean energy sources such as wind power, photovoltaic, and other renewable energies. Despite efforts to reduce carbon emissions and address concerns related to urban haze formation, energy conservation, and emission reduction, coal remains the predominant energy source for heating. In light of these challenges, this paper aims to investigate the heat transfer characteristics of buildings during the heating season. It also examines the feasibility of implementing heating regulations and provides a theoretical foundation for establishing a regional heat model that incorporates low-carbon energy islands. The proposed model combines wind power, photovoltaic power generation, and other renewable energy sources supplemented with coal power. By employing the concentrated heat capacity method, this study develops a mathematical model to simulate the dynamic thermal process involved in heating buildings. The model encompasses various components, including the dynamic heat transfer model of the building's envelope structure, which considers its heat storage characteristics, as well as the radiator model and the indoor air heat balance equation. Furthermore, the model comprehensively accounts for the influence of different indoor and outdoor disturbances on the heat transfer process, including the effects of solar radiation. To validate the model, a simulation program is implemented using Matlab. This program is capable of hourly calculations to determine the indoor temperature. By comparing the simulated temperature values with the measured ones, the rationality and accuracy of the model are verified. © 2023 The Author(s)"
2024,"BRIDGING TOURISM AND ENERGY INDUSTRY DEVELOPMENT IN COASTAL-MARINE PERIPHERIES: THE CASE OF BORNHOLM, DENMARK",Tourism in Marine Environments,"This research note explores the bridging of local tourism content and implementation of large green energy infrastructures in coastal-marine peripheries. The topic is an important one, not least given the speed at which both industries evolve and change, which also means that new challenges and opportunities arise that require urgent attention. Continuous knowledge creation that can be shared between the industries and among the affected peripheral communities that frame the bridging of the two industries is therefore needed. This is particularly the case for Bornholm, a Danish island in the Baltic Sea with a strong tourism tradition and profile but challenged by a new development of turning the island into one of the first community-based “energy islands” in the world. Based on a short literature overview and supported with opinions from local tourism and energy representatives, the research note bases itself around this knowledge need and uses the situation on Bornholm to confirm existing knowledge on the topic, but also uses the occasion to introduce new knowledge aspects that have not yet received attention in the literature. The research note ends by reflecting on and proposing further knowledge needs, including attention areas for future research. Printed in the USA. All rights reserved. Copyright © 2024 Cognizant, LLC."
2023,Analyzing the impact of demand response and reserves in islands energy planning,Energy,"Small Islands usually rely on fossil fuels for their energy supply and face common challenges such as high energy costs and carbon dioxide emissions. For these reasons they represent interesting cases for analysing the transition towards a clean and secure energy system. Nevertheless, integrating non-dispatchable Renewable Energy Sources in the power grid causes stability issues and this is particularly true for island grids. Such issue is not fully considered in long-term energy planning; indeed, an important factor that should be considered in order to ensure the reliability of the grid are Reserves. There are different types of Reserves depending on the reactiveness/response time and the duration of the service. In this paper, primary and secondary reserves have been analysed in order to plan the long-term energy transition of the small island of Favignana, Italy by means of the new version of H2RES, a Linear Programming single-objective optimisation model able to provide a long-term capacity investment and dispatching optimisation. It has been found that biomass generators are favoured to both photovoltaic and wind turbines for their ability to provide reserves and also decrease the unpredictability of the supply. Batteries and Electrolysers are also used mostly for reserve provision. © 2023 Elsevier Ltd"
2023,How to connect energy islands: Trade-offs between hydrogen and electricity infrastructure,Applied Energy,"In light of offshore wind expansions in the North and Baltic Seas in Europe, further ideas on using offshore space for renewable-based energy generation have evolved. One of the concepts is that of energy islands, which entails the placement of energy conversion and storage equipment near offshore wind farms. Offshore placement of electrolysers will cause interdependence between the availability of electricity for hydrogen production and for power transmission to shore. This paper investigates the trade-offs between integrating energy islands via electricity versus hydrogen infrastructure. We set up a combined capacity expansion and electricity dispatch model to assess the role of electrolysers and electricity cables given the availability of renewable energy from the islands. We find that the electricity system benefits more from connecting close-to-shore wind farms via power cables. In turn, electrolysis is more valuable for far-away energy islands as it avoids expensive long-distance cable infrastructure. We also find that capacity investment in electrolysers is sensitive to hydrogen prices but less to carbon prices. The onshore network and congestion caused by increased activity close to shore influence the sizing and siting of electrolysers. © 2023 The Author(s)"
2023,Simulating wake losses of the Danish Energy Island wind farm cluster,Journal of Physics: Conference Series,"The increase in the number of installed offshore wind farms has led to clustering, where wind farm interaction can cause energy losses. The Danish government is planning an Energy Island in the North Sea consisting of ten 1 GW wind farms. The initial wind farm layout design from a consultant company (COWI) has reported a 5% annual energy production (AEP) wake loss based on a low-fidelity engineering wake model that is known to underestimate wind farm interaction. The present work employs higher-fidelity wake models based on Reynolds-averaged Navier-Stokes (RANS) and a mesoscale model, which predict higher AEP losses due to wind farm interaction; namely, between 8.6-10.1%. In addition, we investigate how a microscale model as RANS can be employed to simulate a large wind farm cluster efficiently, and we compare its results with mesoscale model simulations.  © Published under licence by IOP Publishing Ltd."
